company,avg
electriccityentertainment,18202155.375
apellesentertainment,145443742.0
maedayproductions,145443742.0
onarollproductions,145443742.0
flagshipentertainment,145443742.0
lawrencemark,144801023.0
mediastreamiv,144801023.0
friedfilms,72322507.0
molinare,24091431.666666668
mediastreamfilm,144512310.0
providentfilms,14425441.1
chinafilmcoltd,28817888.6
zhongmingyouyingfilm,143528619.0
orientaldreamworks,143528619.0
franklinentertainment,35802680.0
rightofwayfilms,17867219.25
hartbeatproductions,14244654.5
silverbellfilms,141621490.0
followthroughproductions,35397683.25
imperativeentertainment,17631812.75
bfi,1302920.1203703703
mceg,140088813.0
evergreenpictures,35009962.25
franklinwaterman,140015224.0
eonenterprises,139270910.0
bedlam,46276064.0
lavabearfilms,27600692.0
torridonfilms,45957957.333333336
cravefilms,45776598.333333336
zaftigfilms,68551533.0
harpofilms,34134623.25
independentpictures,136314294.0
orenpeli,67902502.5
huahuafilm,45259867.666666664
pantelionfilms,8469834.0625
likelystory,10406693.384615384
ingeniusfilmpartners,134529403.0
kickstart,44838232.666666664
dovemeadltd,134218018.0
intrepidpictures,13346928.7
mediaasiafilms,16657932.125
abiggerboatproductions,33243150.75
ddy,66446613.0
davidhoberman,132675402.0
gregoryjacobs,66331983.5
constancemarksproductions,66112764.5
goodmachine,66093652.0
bluetulip,132024714.0
ronaldshusett,132024714.0
garygoldman,132024714.0
virgin,32884870.0
screenaustralia,2481355.150943396
hoffman,43383413.0
dogeatdog,32360793.5
mbstentertainment,42916296.0
pinhigh,64275933.0
majorstudiopartners,128505958.0
marvofacloudy,128261724.0
france3cinema,2172814.084745763
barrysonnenfeld,127706877.0
davidpermut,63780867.0
gaumont,4106372.3225806453
rubyfilms,12719572.4
tf1international,42305067.333333336
jerryzucker,126813153.0
predawn,126813153.0
crystalskypictures,63405683.0
columbus81productions,126631277.0
halcyoncompany,31654705.75
granadaproductions,25067753.8
flashlightfilms,62609268.5
sogecine,62580801.5
entertainmentsingleberry,125095601.0
gravierproductions,20847197.666666668
